takt;q1;q2;q2p
0;396.000000;-17.000000;3.174366
1;726.000000;-28.000000;6.348731
2;948.000000;-37.000000;9.523097
3;1097.000000;-44.000000;12.697462
4;1125.000000;-45.000000;15.871827
5;1033.000000;-42.000000;19.046194
6;891.000000;-37.000000;22.220558
7;676.000000;-29.000000;25.394922
8;385.000000;-17.000000;28.569288
9;79.000000;-4.000000;31.743654
10;-211.000000;7.000000;34.918022
11;-517.000000;19.000000;38.092388
12;-810.000000;32.000000;41.266758
13;-1059.000000;41.000000;44.441124
14;-1279.000000;50.000000;47.615490
15;-1474.000000;58.000000;50.789856
16;-1611.000000;63.000000;53.964226
17;-1705.000000;67.000000;57.138592
18;-1774.000000;70.000000;60.312954
19;-1805.000000;72.000000;63.487320
20;-1792.000000;72.000000;66.661682
21;-1765.000000;71.000000;69.836044
22;-1722.000000;69.000000;73.010406
23;-1656.000000;67.000000;76.184776
24;-1597.000000;64.000000;79.359131
25;-1552.000000;63.000000;82.533493
26;-1512.000000;62.000000;85.707863
27;-1492.000000;61.000000;88.882225
28;-1502.000000;61.000000;92.056595
29;-1548.000000;62.000000;95.230949
30;-1609.000000;65.000000;98.405312
31;-1696.000000;68.000000;101.579681
32;-1808.000000;73.000000;104.754044
33;-1935.000000;78.000000;107.928406
34;-2060.000000;82.000000;111.102768
35;-2203.000000;88.000000;114.277138
36;-2353.000000;95.000000;117.451500
37;-2490.000000;100.000000;120.625870
38;-2630.000000;106.000000;123.800232
39;-2763.000000;111.000000;126.974609
40;-2878.000000;116.000000;130.148972
41;-2981.000000;120.000000;133.323349
42;-3076.000000;124.000000;136.497711
43;-3154.000000;127.000000;139.672089
44;-3214.000000;129.000000;142.846451
45;-3269.000000;132.000000;146.020828
46;-3316.000000;134.000000;149.195206
47;-3358.000000;135.000000;152.369568
48;-3397.000000;137.000000;155.543945
